案发时间,案件类型,区域分布,点名次数,纬度,经度
201401,扒窃,朝阳区崔各庄,1,40.027264,116.49433
201401,扒窃,朝阳区六里屯,1,39.930466,116.48552
201401,扒窃,朝阳区十八里店,2,39.84223,116.484985
201401,扒窃,东城区北新桥,1,39.94087,116.41682
201401,扒窃,东城区永外,1,39.86261,116.396545
201401,扒窃,丰台区大红门,4,39.83914,116.40512
201401,扒窃,海淀区恩济庄,1,39.9275,116.28275
201401,扒窃,海淀区双榆树,1,39.97188,116.32658
201401,扒窃,西城区西单大街,1,39.914146,116.37316
201401,扒窃,西城区展览路,1,39.932034,116.34452
201401,盗窃机动车,朝阳区三间房,2,39.91374,116.57621
201401,盗窃机动车,朝阳区十八里店,1,39.84223,116.484985
201401,盗窃机动车,丰台区科技园区,1,39.814003,116.29198
201401,拎包盗窃,丰台区新发地,1,39.81228,116.34063
201401,拎包盗窃,丰台区玉泉营,1,39.846184,116.350975
201401,拎包盗窃,西城区西单大街,1,39.914146,116.37316
201401,抢劫/抢夺,朝阳区十八里店,1,39.84223,116.484985
201401,撬砸汽车,朝阳区南磨房,1,39.883575,116.478
201401,撬砸汽车,朝阳区潘家园,1,39.87745,116.44892
201401,撬砸汽车,朝阳区三间房,1,39.91374,116.57621
201401,撬砸汽车,朝阳区十八里店,1,39.84223,116.484985
201401,撬砸汽车,丰台区方庄,1,39.864395,116.43218
201401,撬砸汽车,丰台区六里桥,1,39.883266,116.311005
201401,撬砸汽车,丰台区新发地,1,39.81228,116.34063
201401,撬砸汽车,丰台区岳各庄,2,39.881096,116.273705
201401,撬砸汽车,西城区阜外大街,1,39.92339,116.34581
201401,入室盗窃,朝阳区常营,1,39.95175,116.58444
201401,入室盗窃,朝阳区大屯,1,39.999626,116.450645
201401,入室盗窃,朝阳区垡头,1,39.854683,116.51442
201401,入室盗窃,朝阳区来广营,1,40.024036,116.46376
201401,入室盗窃,东城区北新桥,2,39.94087,116.41682
201401,入室盗窃,东城区建国门,1,39.908466,116.43533
201401,入室盗窃,丰台区丰台镇,1,39.870472,116.28041
201401,入室盗窃,丰台区石榴园,2,39.84696,116.41445
201401,入室盗窃,丰台区岳各庄,2,39.881096,116.273705
201401,入室盗窃,海淀区恩济庄,1,39.9275,116.28275
201401,入室盗窃,海淀区田村,1,39.93033,116.244995
201401,入室盗窃,海淀区羊坊店,1,39.904556,116.31909
201401,入室盗窃,石景山区鲁谷,3,39.903286,116.237625
201401,入室盗窃,西城区阜外大街,1,39.92339,116.34581
201401,入室盗窃,西城区月坛,1,39.915623,116.35329
201401,诈骗,朝阳区安贞里,1,39.97511,116.40472
201401,诈骗,朝阳区呼家楼,1,39.918316,116.4685
201401,诈骗,朝阳区酒仙桥,1,39.97657,116.49566
201401,诈骗,朝阳区潘家园,1,39.87745,116.44892
201401,诈骗,东城区崇文门,1,39.901234,116.42211
201401,诈骗,东城区建国门,1,39.908466,116.43533
201401,诈骗,丰台区芳城,1,39.86851,116.432816
201401,诈骗,丰台区岳各庄,1,39.881096,116.273705
201401,诈骗,海淀区北太平庄,1,39.95355,116.36396
201401,诈骗,海淀区东升,1,39.9953,116.3344
201401,诈骗,海淀区马连洼,1,40.032078,116.27776
201401,诈骗,海淀区上地,1,40.030952,116.319824
201401,诈骗,西城区德外,2,39.962746,116.38592
201401,诈骗,西城区西长安街,1,39.907326,116.38488
201402,扒窃,朝阳区东坝,1,39.972008,116.55506
201402,扒窃,丰台区大红门,2,39.83914,116.40512
201402,扒窃,海淀区海淀,1,39.990406,116.295525
201402,扒窃,海淀区花园路,1,39.977524,116.36569
201402,扒窃,海淀区太平桥,1,39.901062,116.2986
201402,扒窃,西城区西单大街,2,39.914146,116.37316
201402,盗窃机动车,朝阳区十八里店,1,39.84223,116.484985
201402,盗窃机动车,丰台区石榴园,1,39.84696,116.41445
201402,拎包盗窃,丰台区樊家村,1,39.845154,116.31192
201402,撬砸汽车,朝阳区垡头,1,39.854683,116.51442
201402,撬砸汽车,朝阳区劲松,1,39.884216,116.458916
201402,撬砸汽车,朝阳区南磨房,1,39.883575,116.478
201402,撬砸汽车,东城区龙潭湖,1,39.8814,116.4383
201402,撬砸汽车,东城区永外,1,39.86261,116.396545
201402,撬砸汽车,丰台区丰台镇,1,39.870472,116.28041
201402,撬砸汽车,丰台区青塔,1,39.89301,116.26413
201402,撬砸汽车,丰台区岳各庄,1,39.881096,116.273705
201402,撬砸汽车,海淀区上地,1,40.030952,116.319824
201402,撬砸汽车,海淀区万寿路,1,39.907696,116.29512
201402,撬砸汽车,海淀区羊坊店,1,39.904556,116.31909
201402,入室盗窃,朝阳区大屯,1,39.999626,116.450645
201402,入室盗窃,朝阳区呼家楼,1,39.918316,116.4685
201402,入室盗窃,朝阳区潘家园,1,39.87745,116.44892
201402,入室盗窃,朝阳区三间房,1,39.91374,116.57621
201402,入室盗窃,朝阳区小武基,1,39.86038,116.48931
201402,入室盗窃,东城区朝阳门,1,39.9164,116.43099
201402,入室盗窃,东城区东花市,1,39.895752,116.4334
201402,入室盗窃,东城区天坛,1,39.89247,116.44387
201402,入室盗窃,丰台区成寿寺,1,39.85079,116.44108
201402,入室盗窃,丰台区丰台镇,2,39.870472,116.28041
201402,入室盗窃,丰台区蒲黄榆,2,39.867184,116.42162
201402,入室盗窃,海淀区海淀,2,39.990406,116.295525
201402,入室盗窃,海淀区田村,1,39.93033,116.244995
201402,入室盗窃,海淀区羊坊店,1,39.904556,116.31909
201402,入室盗窃,石景山区苹果园,1,39.90807,116.20131
201402,入室盗窃,西城区白纸坊,2,39.879333,116.359245
201402,入室盗窃,西城区西单大街,1,39.914146,116.37316
201402,诈骗,朝阳区呼家楼,1,39.918316,116.4685
201402,诈骗,朝阳区劲松,1,39.884216,116.458916
201402,诈骗,朝阳区潘家园,1,39.87745,116.44892
201402,诈骗,丰台区大红门,1,39.83914,116.40512
201402,诈骗,丰台区芳城,1,39.86851,116.432816
201402,诈骗,丰台区石榴园,1,39.84696,116.41445
201402,诈骗,海淀区北太平庄,1,39.95355,116.36396
201402,诈骗,海淀区恩济庄,1,39.9275,116.28275
201402,诈骗,海淀区海淀,1,39.990406,116.295525
201402,诈骗,西城区德胜门,1,39.94982,116.37787
201402,诈骗,西城区月坛,1,39.915623,116.35329
201403,扒窃,朝阳区高碑店,1,39.8996,116.52837
201403,扒窃,丰台区右安门,1,39.860855,116.36552
201403,扒窃,西城区西单大街,1,39.914146,116.37316
201403,盗窃机动车,西城区展览路,1,39.932034,116.34452
201403,抢劫/抢夺,丰台区看丹,1,39.840984,116.28942
201403,撬砸汽车,朝阳区劲松,1,39.884216,116.458916
201403,撬砸汽车,东城区天坛,1,39.89247,116.44387
201403,撬砸汽车,丰台区科技园区,1,39.814003,116.29198
201403,入室盗窃,朝阳区十八里店,1,39.84223,116.484985
201403,入室盗窃,朝阳区小武基,2,39.86038,116.48931
201403,入室盗窃,东城区北新桥,1,39.94087,116.41682
201403,入室盗窃,东城区东直门,1,39.941296,116.42647
201403,入室盗窃,东城区天坛,1,39.89247,116.44387
201403,入室盗窃,丰台区樊家村,1,39.845154,116.31192
201403,入室盗窃,丰台区丰台镇,1,39.870472,116.28041
201403,入室盗窃,海淀区田村,1,39.93033,116.244995
201403,入室盗窃,海淀区西山,1,39.959286,116.23288
201403,入室盗窃,石景山区苹果园,1,39.90807,116.20131
201403,入室盗窃,西城区白纸坊,1,39.879333,116.359245
201403,入室盗窃,西城区广外,1,39.891296,116.33615
201403,诈骗,朝阳区和平街,1,39.9647,116.42
201403,诈骗,朝阳区潘家园,1,39.87745,116.44892
201403,诈骗,东城区东四,1,39.928555,116.418434
201403,诈骗,丰台区丰台镇,1,39.870472,116.28041
201403,诈骗,丰台区岳各庄,1,39.881096,116.273705
201403,诈骗,海淀区北太平庄,1,39.95355,116.36396
201403,诈骗,海淀区中关村,1,39.98643,116.337364
201403,诈骗,石景山区八宝山,1,39.906998,116.24176
201403,诈骗,西城区阜外大街,1,39.92339,116.34581
201403,诈骗,西城区月坛,1,39.915623,116.35329
201404,扒窃,朝阳区建国门,1,39.90841,116.43625
201404,扒窃,朝阳区南磨房,1,39.883575,116.478
201404,扒窃,朝阳区潘家园,2,39.87745,116.44892
201404,扒窃,朝阳区新源里,1,39.948402,116.44918
201404,扒窃,东城区东华门,1,39.917217,116.415665
201404,扒窃,东城区东交民巷,1,39.902588,116.409065
201404,扒窃,东城区东直门,1,39.941296,116.42647
201404,扒窃,丰台区芳城,1,39.86851,116.432816
201404,扒窃,丰台区丰台镇,2,39.870472,116.28041
201404,扒窃,丰台区石榴园,2,39.84696,116.41445
201404,扒窃,海淀区大钟寺,2,39.9641,116.34217
201404,扒窃,海淀区上地,1,40.030952,116.319824
201404,扒窃,海淀区万寿寺,2,39.951084,116.312355
201404,扒窃,石景山区模石口,2,39.906612,116.222984
201404,扒窃,石景山区苹果园,2,39.90807,116.20131
201404,扒窃,石景山区新古城,1,39.906612,116.222984
201404,扒窃,西城区西单大街,4,39.914146,116.37316
201404,盗窃机动车,朝阳区十八里店,2,39.84223,116.484985
201404,盗窃机动车,东城区北新桥,1,39.94087,116.41682
201404,盗窃机动车,丰台区樊家村,1,39.845154,116.31192
201404,盗窃机动车,丰台区芳城,1,39.86851,116.432816
201404,盗窃机动车,海淀区北太平庄,1,39.95355,116.36396
201404,盗窃机动车,海淀区恩济庄,1,39.9275,116.28275
201404,盗窃机动车,石景山区鲁谷,1,39.903286,116.237625
201404,盗窃机动车,西城区月坛,1,39.915623,116.35329
201404,拎包盗窃,朝阳区王四营,1,39.874344,116.53131
201404,拎包盗窃,丰台区玉泉营,1,39.846184,116.350975
201404,拎包盗窃,海淀区东升,1,39.9953,116.3344
201404,拎包盗窃,西城区西单大街,2,39.914146,116.37316
201404,抢劫/抢夺,朝阳区劲松,1,39.884216,116.458916
201404,抢劫/抢夺,丰台区成寿寺,1,39.85079,116.44108
201404,抢劫/抢夺,西城区阜外,1,39.923733,116.34773
201404,撬砸汽车,朝阳区大屯,1,39.999626,116.450645
201404,撬砸汽车,朝阳区南皋,1,40.004234,116.52377
201404,撬砸汽车,朝阳区南磨房,1,39.883575,116.478
201404,撬砸汽车,朝阳区十八里店,2,39.84223,116.484985
201404,撬砸汽车,东城区天坛,1,39.89247,116.44387
201404,撬砸汽车,东城区永外,1,39.86261,116.396545
201404,撬砸汽车,丰台区芳城,1,39.86851,116.432816
201404,撬砸汽车,丰台区卢沟桥,1,39.850163,116.22075
201404,撬砸汽车,丰台区马家堡,1,39.852848,116.37915
201404,撬砸汽车,丰台区玉泉营,1,39.846184,116.350975
201404,撬砸汽车,丰台区岳各庄,1,39.881096,116.273705
201404,撬砸汽车,海淀区大钟寺,1,39.9641,116.34217
201404,撬砸汽车,海淀区恩济庄,1,39.9275,116.28275
201404,撬砸汽车,海淀区四季青,1,39.953846,116.27644
201404,撬砸汽车,海淀区田村,1,39.93033,116.244995
201404,撬砸汽车,海淀区万寿寺,1,39.951084,116.312355
201404,撬砸汽车,石景山区苹果园,1,39.90807,116.20131
201404,撬砸汽车,石景山区新古城,1,39.906612,116.222984
201404,撬砸汽车,西城区福绥境,1,39.927425,116.3606
201404,撬砸汽车,西城区天桥,1,39.885284,116.39666
201404,撬砸汽车,西城区月坛,1,39.915623,116.35329
201404,入室盗窃,朝阳区大屯,1,39.999626,116.450645
201404,入室盗窃,朝阳区劲松,1,39.884216,116.458916
201404,入室盗窃,朝阳区来广营,1,40.024036,116.46376
201404,入室盗窃,朝阳区潘家园,1,39.87745,116.44892
201404,入室盗窃,朝阳区小武基,1,39.86038,116.48931
201404,入室盗窃,东城区北新桥,4,39.94087,116.41682
201404,入室盗窃,东城区永外,1,39.86261,116.396545
201404,入室盗窃,丰台区大红门,1,39.83914,116.40512
201404,入室盗窃,丰台区石榴园,1,39.84696,116.41445
201404,入室盗窃,丰台区右安门,1,39.860855,116.36552
201404,入室盗窃,丰台区岳各庄,2,39.881096,116.273705
201404,入室盗窃,海淀区曙光,1,39.942467,116.29124
201404,入室盗窃,海淀区四季青,1,39.953846,116.27644
201404,入室盗窃,海淀区田村,2,39.93033,116.244995
201404,入室盗窃,海淀区万寿寺,1,39.951084,116.312355
201404,入室盗窃,石景山区八角,1,39.91396,116.203415
201404,入室盗窃,石景山区鲁谷,2,39.903286,116.237625
201404,入室盗窃,石景山区模石口,1,39.906612,116.222984
201404,入室盗窃,石景山区苹果园,1,39.90807,116.20131
201404,入室盗窃,西城区福绥境,2,39.927425,116.3606
201404,入室盗窃,西城区广内,2,39.888905,116.359375
201404,诈骗,朝阳区建国门外,1,39.908543,116.449425
201404,诈骗,朝阳区南磨房,1,39.883575,116.478
201404,诈骗,朝阳区十八里店,2,39.84223,116.484985
201404,诈骗,朝阳区双井,1,39.89403,116.46152
201404,诈骗,东城区北新桥,2,39.94087,116.41682
201404,诈骗,丰台区樊家村,1,39.845154,116.31192
201404,诈骗,丰台区丰台镇,1,39.870472,116.28041
201404,诈骗,丰台区马家堡,1,39.852848,116.37915
201404,诈骗,丰台区太平桥,1,39.886936,116.31668
201404,诈骗,丰台区长辛店,1,39.82419,116.2085
201404,诈骗,海淀区大钟寺,1,39.9641,116.34217
201404,诈骗,海淀区东升,3,39.9953,116.3344
201404,诈骗,海淀区万寿路,1,39.907696,116.29512
201404,诈骗,石景山区八角,2,39.91396,116.203415
201404,诈骗,石景山区新古城,1,39.906612,116.222984
201404,诈骗,西城区白纸坊,1,39.879333,116.359245
201404,诈骗,西城区福绥境,1,39.927425,116.3606
201404,诈骗,西城区陶然亭,1,39.88038,116.38483
201404,诈骗,西城区天宁寺,1,39.894356,116.346
201404,诈骗,西城区西长安街,1,39.907326,116.38488
201405,扒窃,朝阳区奥运村,1,39.999767,116.37246
201405,扒窃,朝阳区和平街,1,39.9647,116.42
201405,扒窃,东城区崇文门,1,39.901234,116.42211
201405,扒窃,丰台区大红门,3,39.83914,116.40512
201405,扒窃,海淀区大钟寺,1,39.9641,116.34217
201405,盗窃机动车,朝阳区小武基,1,39.86038,116.48931
201405,拎包盗窃,朝阳区八里庄,1,39.914806,116.48062
201405,抢劫/抢夺,朝阳区高碑店,1,39.8996,116.52837
201405,抢劫/抢夺,东城区永外,1,39.86261,116.396545
201405,抢劫/抢夺,丰台区丰台镇,1,39.870472,116.28041
201405,抢劫/抢夺,丰台区青塔,1,39.89301,116.26413
201405,撬砸汽车,朝阳区劲松,2,39.884216,116.458916
201405,撬砸汽车,朝阳区来广营,1,40.024036,116.46376
201405,撬砸汽车,朝阳区南磨房,2,39.883575,116.478
201405,撬砸汽车,丰台区方庄,1,39.864395,116.43218
201405,撬砸汽车,丰台区西局,1,39.87035,116.30693
201405,撬砸汽车,丰台区玉泉营,1,39.846184,116.350975
201405,撬砸汽车,丰台区岳各庄,1,39.881096,116.273705
201405,撬砸汽车,海淀区苏家坨,1,40.08027,116.16458
201405,撬砸汽车,海淀区万寿寺,1,39.951084,116.312355
201405,撬砸汽车,石景山区广宁,1,39.92596,116.145035
201405,入室盗窃,朝阳区花家地,1,39.976486,116.47079
201405,入室盗窃,朝阳区南湖,1,40.001076,116.46281
201405,入室盗窃,朝阳区平房,1,39.937176,116.530685
201405,入室盗窃,朝阳区十八里店,1,39.84223,116.484985
201405,入室盗窃,东城区北新桥,1,39.94087,116.41682
201405,入室盗窃,东城区东直门,1,39.941296,116.42647
201405,入室盗窃,丰台区南苑镇,1,39.798252,116.3792
201405,入室盗窃,丰台区岳各庄,2,39.881096,116.273705
201405,入室盗窃,丰台区云岗,1,39.80503,116.17659
201405,入室盗窃,海淀区恩济庄,1,39.9275,116.28275
201405,入室盗窃,海淀区马连洼,1,40.032078,116.27776
201405,入室盗窃,海淀区田村,1,39.93033,116.244995
201405,入室盗窃,海淀区永丰,1,40.06327,116.24975
201405,入室盗窃,石景山区八角,1,39.91396,116.203415
201405,入室盗窃,石景山区广宁,1,39.92596,116.145035
201405,入室盗窃,石景山区金顶街,1,39.927166,116.16908
201405,入室盗窃,石景山区鲁谷,1,39.903286,116.237625
201405,入室盗窃,石景山区新古城,1,39.906612,116.222984
201405,入室盗窃,西城区白纸坊,2,39.879333,116.359245
201405,入室盗窃,西城区厂桥,1,39.93301,116.38013
201405,入室盗窃,西城区德外,1,39.962746,116.38592
201405,入室盗窃,西城区月坛,1,39.915623,116.35329
201405,诈骗,朝阳区大屯,1,39.999626,116.450645
201405,诈骗,朝阳区东坝,1,39.972008,116.55506
201405,诈骗,朝阳区南磨房,1,39.883575,116.478
201405,诈骗,朝阳区十八里店,1,39.84223,116.484985
201405,诈骗,东城区天坛,1,39.89247,116.44387
201405,诈骗,丰台区樊家村,3,39.845154,116.31192
201405,诈骗,丰台区科技园区,1,39.814003,116.29198
201405,诈骗,海淀区东升,1,39.9953,116.3344
201405,诈骗,海淀区恩济庄,1,39.9275,116.28275
201405,诈骗,海淀区甘家口,2,39.923023,116.33464
201405,诈骗,石景山区八宝山,1,39.906998,116.24176
201405,诈骗,西城区德胜门外,1,39.953094,116.37947
201405,诈骗,西城区广外,1,39.891296,116.33615
201405,诈骗,西城区天宁寺,1,39.894356,116.346
201405,诈骗,西城区西长安街,1,39.907326,116.38488
201406,扒窃,朝阳区花家地,1,39.976486,116.47079
201406,扒窃,丰台区大红门,1,39.83914,116.40512
201406,扒窃,丰台区石榴园,1,39.84696,116.41445
201406,盗窃非机动车,朝阳区三间房,1,39.91374,116.57621
201406,盗窃非机动车,海淀区田村,1,39.93033,116.244995
201406,盗窃非机动车,石景山区新古城,1,39.906612,116.222984
201406,盗窃机动车,朝阳区三间房,1,39.91374,116.57621
201406,盗窃机动车,海淀区田村,1,39.93033,116.244995
201406,盗窃机动车,石景山区新古城,1,39.906612,116.222984
201406,拎包盗窃,朝阳区朝外大街,1,39.922882,116.44858
201406,拎包盗窃,朝阳区十八里店,1,39.84223,116.484985
201406,拎包盗窃,丰台区新发地,2,39.81228,116.34063
201406,抢劫/抢夺,丰台区南苑镇,1,39.798252,116.3792
201406,撬砸汽车,朝阳区南磨房,2,39.883575,116.478
201406,撬砸汽车,朝阳区王四营,1,39.874344,116.53131
201406,撬砸汽车,丰台区科技园区,1,39.814003,116.29198
201406,撬砸汽车,丰台区新发地,1,39.81228,116.34063
201406,撬砸汽车,丰台区岳各庄,2,39.881096,116.273705
201406,撬砸汽车,海淀区万寿路,1,39.907696,116.29512
201406,撬砸汽车,海淀区永定路,2,39.912945,116.26467
201406,入室盗窃,朝阳区垡头,1,39.854683,116.51442
201406,入室盗窃,朝阳区六里屯,1,39.930466,116.48552
201406,入室盗窃,朝阳区南湖,1,40.001076,116.46281
201406,入室盗窃,朝阳区小红门,2,39.82863,116.461525
201406,入室盗窃,东城区北新桥,1,39.94087,116.41682
201406,入室盗窃,东城区东直门,1,39.941296,116.42647
201406,入室盗窃,东城区和平里,1,39.957153,116.42199
201406,入室盗窃,丰台区大红门,1,39.83914,116.40512
201406,入室盗窃,丰台区丰台镇,2,39.870472,116.28041
201406,入室盗窃,丰台区六里桥,1,39.883266,116.311005
201406,入室盗窃,海淀区马连洼,1,40.032078,116.27776
201406,入室盗窃,海淀区清河,1,39.95991,116.29806
201406,入室盗窃,海淀区西山,1,39.959286,116.23288
