案发时间,案件类型,区域分布,点名次数,纬度,经度
201406,入室盗窃,海淀区羊坊店,1,39.904556,116.31909
201406,入室盗窃,石景山区八角,1,39.91396,116.203415
201406,入室盗窃,石景山区金顶街,1,39.927166,116.16908
201406,入室盗窃,石景山区鲁谷,1,39.903286,116.237625
201406,入室盗窃,西城区阜外大街,1,39.92339,116.34581
201406,入室盗窃,西城区月坛,1,39.915623,116.35329
201406,诈骗,朝阳区奥动村,1,39.92147,116.44311
201406,诈骗,朝阳区六里屯,1,39.930466,116.48552
201406,诈骗,朝阳区十八里店,2,39.84223,116.484985
201406,诈骗,东城区安外大街,1,39.958866,116.40817
201406,诈骗,东城区北新桥,1,39.94087,116.41682
201406,诈骗,东城区朝阳门,1,39.9164,116.43099
201406,诈骗,丰台区丰台镇,3,39.870472,116.28041
201406,诈骗,海淀区北太平庄,2,39.95355,116.36396
201406,诈骗,海淀区东升,1,39.9953,116.3344
201406,诈骗,海淀区万寿寺,1,39.951084,116.312355
201406,诈骗,石景山区八宝山,1,39.906998,116.24176
201406,诈骗,石景山区八角,1,39.91396,116.203415
201406,诈骗,西城区德胜门外,1,39.953094,116.37947
201406,诈骗,西城区二龙路,1,39.911785,116.366135
201406,诈骗,西城区广外,1,39.891296,116.33615
201407,扒窃,朝阳区东风,1,39.93854,116.505325
201407,扒窃,朝阳区建外,1,39.907036,116.459885
201407,扒窃,朝阳区平房,1,39.937176,116.530685
201407,扒窃,丰台区大红门,1,39.83914,116.40512
201407,扒窃,丰台区六里桥,1,39.883266,116.311005
201407,扒窃,西城区西直门外大街,1,39.938744,116.34537
201407,盗窃机动车,朝阳区劲松,1,39.884216,116.458916
201407,盗窃机动车,丰台区南苑镇,1,39.798252,116.3792
201407,盗窃机动车,海淀区西山,1,39.959286,116.23288
201407,拎包盗窃,朝阳区南磨房,1,39.883575,116.478
201407,拎包盗窃,朝阳区王四营,1,39.874344,116.53131
201407,拎包盗窃,丰台区新发地,4,39.81228,116.34063
201407,抢劫/抢夺,丰台区东铁匠营,1,39.85178,116.42128
201407,抢劫/抢夺,丰台区马家堡,1,39.852848,116.37915
201407,撬砸汽车,朝阳区南磨房,2,39.883575,116.478
201407,撬砸汽车,朝阳区十八里店,2,39.84223,116.484985
201407,撬砸汽车,朝阳区王四营,1,39.874344,116.53131
201407,撬砸汽车,丰台区青塔,1,39.89301,116.26413
201407,撬砸汽车,丰台区岳各庄,1,39.881096,116.273705
201407,撬砸汽车,丰台区云岗,1,39.80503,116.17659
201407,撬砸汽车,海淀区四季青,1,39.953846,116.27644
201407,撬砸汽车,海淀区永定路,1,39.912945,116.26467
201407,入室盗窃,朝阳区呼家楼,1,39.918316,116.4685
201407,入室盗窃,朝阳区平房,1,39.937176,116.530685
201407,入室盗窃,朝阳区三间房,1,39.91374,116.57621
201407,入室盗窃,朝阳区十八里店,2,39.84223,116.484985
201407,入室盗窃,东城区景山,1,39.92842,116.39792
201407,入室盗窃,东城区永外,2,39.86261,116.396545
201407,入室盗窃,丰台区樊家村,1,39.845154,116.31192
201407,入室盗窃,丰台区丰台镇,2,39.870472,116.28041
201407,入室盗窃,丰台区石榴园,1,39.84696,116.41445
201407,入室盗窃,丰台区岳各庄,1,39.881096,116.273705
201407,入室盗窃,海淀区清河,1,39.95991,116.29806
201407,入室盗窃,海淀区上庄,1,40.09698,116.215675
201407,入室盗窃,海淀区四季青,1,39.953846,116.27644
201407,入室盗窃,海淀区田村,1,39.93033,116.244995
201407,入室盗窃,海淀区西山,1,39.959286,116.23288
201407,入室盗窃,石景山区鲁谷,1,39.903286,116.237625
201407,入室盗窃,石景山区苹果园,1,39.90807,116.20131
201407,入室盗窃,西城区厂桥,1,39.93301,116.38013
201407,入室盗窃,西城区福绥境,1,39.927425,116.3606
201407,入室盗窃,西城区阜外,1,39.923733,116.34773
201407,入室盗窃,西城区天宁寺,1,39.894356,116.346
201407,诈骗,朝阳区大屯,3,39.999626,116.450645
201407,诈骗,朝阳区呼家楼,1,39.918316,116.4685
201407,诈骗,朝阳区六里屯,1,39.930466,116.48552
201407,诈骗,东城区龙潭,1,39.87715,116.444565
201407,诈骗,丰台区丰台镇,2,39.870472,116.28041
201407,诈骗,丰台区六里桥,1,39.883266,116.311005
201407,诈骗,丰台区马家堡,1,39.852848,116.37915
201407,诈骗,丰台区南苑镇,1,39.798252,116.3792
201407,诈骗,海淀区北太平庄,2,39.95355,116.36396
201407,诈骗,海淀区海淀,2,39.990406,116.295525
201407,诈骗,海淀区花园路,1,39.977524,116.36569
201407,诈骗,西城区德胜门外,1,39.953094,116.37947
201407,诈骗,西城区二龙路,1,39.911785,116.366135
201407,诈骗,西城区阜外大街,1,39.92339,116.34581
201407,诈骗,西城区广外,1,39.891296,116.33615
201407,诈骗,西城区月坛,1,39.915623,116.35329
201408,扒窃,朝阳区和平街,1,39.9647,116.42
201408,扒窃,朝阳区劲松,1,39.884216,116.458916
201408,扒窃,朝阳区潘家园,1,39.87745,116.44892
201408,扒窃,朝阳区王四营,1,39.874344,116.53131
201408,扒窃,东城区东华门,1,39.917217,116.415665
201408,扒窃,丰台区大红门,1,39.83914,116.40512
201408,扒窃,丰台区樊家村,1,39.845154,116.31192
201408,扒窃,丰台区新发地,1,39.81228,116.34063
201408,扒窃,海淀区花园路,1,39.977524,116.36569
201408,盗窃机动车,朝阳区南磨房,1,39.883575,116.478
201408,盗窃机动车,朝阳区双井,1,39.89403,116.46152
201408,盗窃机动车,丰台区卢沟桥,2,39.850163,116.22075
201408,盗窃机动车,石景山区鲁谷,2,39.903286,116.237625
201408,拎包盗窃,朝阳区十八里店,1,39.84223,116.484985
201408,拎包盗窃,丰台区樊家村,1,39.845154,116.31192
201408,拎包盗窃,丰台区马家堡,1,39.852848,116.37915
201408,拎包盗窃,丰台区新发地,2,39.81228,116.34063
201408,撬砸汽车,朝阳区东风,1,39.93854,116.505325
201408,撬砸汽车,朝阳区十八里店,2,39.84223,116.484985
201408,撬砸汽车,朝阳区太阳宫,1,39.97628,116.443985
201408,撬砸汽车,丰台区新发地,1,39.81228,116.34063
201408,撬砸汽车,丰台区云岗,1,39.80503,116.17659
201408,撬砸汽车,海淀区大钟寺,1,39.9641,116.34217
201408,撬砸汽车,海淀区东升,1,39.9953,116.3344
201408,撬砸汽车,海淀区恩济庄,1,39.9275,116.28275
201408,入室盗窃,朝阳区劲松,2,39.884216,116.458916
201408,入室盗窃,朝阳区六里屯,1,39.930466,116.48552
201408,入室盗窃,朝阳区太阳宫,1,39.97628,116.443985
201408,入室盗窃,东城区东直门,1,39.941296,116.42647
201408,入室盗窃,东城区建国门,1,39.908466,116.43533
201408,入室盗窃,东城区永外,1,39.86261,116.396545
201408,入室盗窃,丰台区马家堡,4,39.852848,116.37915
201408,入室盗窃,海淀区大钟寺,1,39.9641,116.34217
201408,入室盗窃,海淀区上庄,1,40.09698,116.215675
201408,入室盗窃,海淀区苏家坨,1,40.08027,116.16458
201408,入室盗窃,海淀区万寿寺,1,39.951084,116.312355
201408,入室盗窃,石景山区金顶街,1,39.927166,116.16908
201408,入室盗窃,石景山区苹果园,2,39.90807,116.20131
201408,入室盗窃,西城区阜外大街,1,39.92339,116.34581
201408,入室盗窃,西城区广外,1,39.891296,116.33615
201408,入室盗窃,西城区天宁寺,1,39.894356,116.346
201408,入室盗窃,西城区展览路,1,39.932034,116.34452
201408,诈骗,朝阳区建国门外,2,39.908543,116.449425
201408,诈骗,朝阳区南磨房,2,39.883575,116.478
201408,诈骗,东城区安外大街,2,39.958866,116.40817
201408,诈骗,东城区北新桥,1,39.94087,116.41682
201408,诈骗,丰台区东高地,1,39.805676,116.414154
201408,诈骗,丰台区丰台镇,1,39.870472,116.28041
201408,诈骗,丰台区科技园区,2,39.814003,116.29198
201408,诈骗,海淀区大钟寺,1,39.9641,116.34217
201408,诈骗,海淀区海淀,1,39.990406,116.295525
201408,诈骗,海淀区花园路,1,39.977524,116.36569
201408,诈骗,海淀区万寿寺,1,39.951084,116.312355
201408,诈骗,石景山区八宝山,1,39.906998,116.24176
201408,诈骗,石景山区新古城,1,39.906612,116.222984
201408,诈骗,西城区德胜门外,2,39.953094,116.37947
201408,诈骗,西城区阜外大街,1,39.92339,116.34581
201408,诈骗,西城区广外,1,39.891296,116.33615
201409,扒窃,朝阳区十八里店,1,39.84223,116.484985
201409,扒窃,丰台区大红门,1,39.83914,116.40512
201409,扒窃,丰台区马家堡,1,39.852848,116.37915
201409,扒窃,海淀区恩济庄,1,39.9275,116.28275
201409,扒窃,海淀区卧佛寺,1,40.006676,116.20805
201409,扒窃,西城区阜外大街,1,39.92339,116.34581
201409,盗窃机动车,朝阳区管庄,1,39.908535,116.597466
201409,拎包盗窃,丰台区新发地,1,39.81228,116.34063
201409,撬砸汽车,朝阳区潘家园,1,39.87745,116.44892
201409,撬砸汽车,朝阳区十八里店,1,39.84223,116.484985
201409,撬砸汽车,丰台区樊家村,1,39.845154,116.31192
201409,撬砸汽车,丰台区丰台镇,1,39.870472,116.28041
201409,撬砸汽车,丰台区玉泉营,1,39.846184,116.350975
201409,撬砸汽车,丰台区云岗,1,39.80503,116.17659
201409,撬砸汽车,海淀区田村,1,39.93033,116.244995
201409,入室盗窃,朝阳区八里庄,1,39.914806,116.48062
201409,入室盗窃,朝阳区东风,1,39.93854,116.505325
201409,入室盗窃,朝阳区来广营,1,40.024036,116.46376
201409,入室盗窃,朝阳区十八里店,1,39.84223,116.484985
201409,入室盗窃,朝阳区小武基,1,39.86038,116.48931
201409,入室盗窃,东城区天坛,1,39.89247,116.44387
201409,入室盗窃,东城区永外,1,39.86261,116.396545
201409,入室盗窃,丰台区丰台镇,1,39.870472,116.28041
201409,入室盗窃,丰台区马家堡,1,39.852848,116.37915
201409,入室盗窃,丰台区岳各庄,1,39.881096,116.273705
201409,入室盗窃,丰台区朱家坟,1,39.809517,116.18754
201409,入室盗窃,海淀区恩济庄,1,39.9275,116.28275
201409,入室盗窃,海淀区上庄,1,40.09698,116.215675
201409,入室盗窃,海淀区田村,2,39.93033,116.244995
201409,入室盗窃,石景山区八宝山,1,39.906998,116.24176
201409,入室盗窃,石景山区苹果园,1,39.90807,116.20131
201409,入室盗窃,西城区德胜门外,1,39.953094,116.37947
201409,入室盗窃,西城区广外,1,39.891296,116.33615
201409,入室盗窃,西城区展览路,1,39.932034,116.34452
201409,诈骗,朝阳区呼家楼,1,39.918316,116.4685
201409,诈骗,朝阳区建国门外,1,39.908543,116.449425
201409,诈骗,朝阳区南磨房,1,39.883575,116.478
201409,诈骗,朝阳区潘家园,1,39.87745,116.44892
201409,诈骗,朝阳区三间房,1,39.91374,116.57621
201409,诈骗,东城区安外大街,1,39.958866,116.40817
201409,诈骗,东城区朝阳门,1,39.9164,116.43099
201409,诈骗,丰台区丰台镇,1,39.870472,116.28041
201409,诈骗,丰台区马家堡,1,39.852848,116.37915
201409,诈骗,丰台区岳各庄,2,39.881096,116.273705
201409,诈骗,海淀区北太平庄,1,39.95355,116.36396
201409,诈骗,海淀区大钟寺,1,39.9641,116.34217
201409,诈骗,海淀区海淀,1,39.990406,116.295525
201409,诈骗,海淀区花园路,1,39.977524,116.36569
201409,诈骗,海淀区万寿寺,1,39.951084,116.312355
201409,诈骗,西城区德胜门外,4,39.953094,116.37947
201410,扒窃,朝阳区王四营,1,39.874344,116.53131
201410,扒窃,东城区王府井大街,1,39.91618,116.41117
201410,扒窃,丰台区樊家村,1,39.845154,116.31192
201410,扒窃,丰台区丰台镇,2,39.870472,116.28041
201410,扒窃,丰台区马家堡,2,39.852848,116.37915
201410,扒窃,丰台区南苑镇,1,39.798252,116.3792
201410,扒窃,海淀区大钟寺,1,39.9641,116.34217
201410,扒窃,西城区西单大街,1,39.914146,116.37316
201410,盗窃机动车,朝阳区平房,2,39.937176,116.530685
201410,盗窃机动车,丰台区科技园区,2,39.814003,116.29198
201410,拎包盗窃,丰台区樊家村,4,39.845154,116.31192
201410,撬砸汽车,朝阳区东风,2,39.93854,116.505325
201410,撬砸汽车,朝阳区花家地,1,39.976486,116.47079
201410,撬砸汽车,朝阳区平房,1,39.937176,116.530685
201410,撬砸汽车,朝阳区十八里店,1,39.84223,116.484985
201410,撬砸汽车,朝阳区王四营,1,39.874344,116.53131
201410,撬砸汽车,丰台区六里桥,1,39.883266,116.311005
201410,撬砸汽车,丰台区青塔,1,39.89301,116.26413
201410,撬砸汽车,丰台区四合庄,1,39.834747,116.31092
201410,撬砸汽车,丰台区岳各庄,1,39.881096,116.273705
201410,撬砸汽车,海淀区四季青,1,39.953846,116.27644
201410,撬砸汽车,海淀区苏家坨,1,40.08027,116.16458
201410,撬砸汽车,海淀区永定路,2,39.912945,116.26467
201410,撬砸汽车,海淀区中关村西区,1,39.98643,116.337364
201410,撬砸汽车,石景山区鲁谷,1,39.903286,116.237625
201410,撬砸汽车,石景山区苹果园,1,39.90807,116.20131
201410,入室盗窃,朝阳区常营,1,39.95175,116.58444
201410,入室盗窃,朝阳区大屯,1,39.999626,116.450645
201410,入室盗窃,朝阳区劲松,1,39.884216,116.458916
201410,入室盗窃,朝阳区南磨房,1,39.883575,116.478
201410,入室盗窃,朝阳区小武基,1,39.86038,116.48931
201410,入室盗窃,东城区北新桥,1,39.94087,116.41682
201410,入室盗窃,东城区东直门,1,39.941296,116.42647
201410,入室盗窃,丰台区樊家村,1,39.845154,116.31192
201410,入室盗窃,丰台区丰台镇,1,39.870472,116.28041
201410,入室盗窃,丰台区南苑镇,1,39.798252,116.3792
201410,入室盗窃,丰台区张郭庄,1,39.854874,116.18968
201410,入室盗窃,丰台区长辛店,1,39.82419,116.2085
201410,入室盗窃,海淀区恩济庄,2,39.9275,116.28275
201410,入室盗窃,海淀区海淀,1,39.990406,116.295525
201410,入室盗窃,海淀区田村,2,39.93033,116.244995
201410,入室盗窃,石景山区八角,1,39.91396,116.203415
201410,入室盗窃,石景山区鲁谷,1,39.903286,116.237625
201410,入室盗窃,石景山区新古城,1,39.906612,116.222984
201410,入室盗窃,西城区阜外,1,39.923733,116.34773
201410,入室盗窃,西城区广外,1,39.891296,116.33615
201410,入室盗窃,西城区展览路,1,39.932034,116.34452
201410,诈骗,朝阳区大屯,3,39.999626,116.450645
201410,诈骗,朝阳区建国门外,1,39.908543,116.449425
201410,诈骗,朝阳区潘家园,1,39.87745,116.44892
201410,诈骗,东城区朝阳门,1,39.9164,116.43099
201410,诈骗,东城区永外,1,39.86261,116.396545
201410,诈骗,丰台区樊家村,1,39.845154,116.31192
201410,诈骗,丰台区丰台镇,1,39.870472,116.28041
201410,诈骗,丰台区六里桥,1,39.883266,116.311005
201410,诈骗,丰台区马家堡,1,39.852848,116.37915
201410,诈骗,丰台区玉泉营,1,39.846184,116.350975
201410,诈骗,海淀区大钟寺,2,39.9641,116.34217
201410,诈骗,海淀区恩济庄,1,39.9275,116.28275
201410,诈骗,海淀区花园路,1,39.977524,116.36569
201410,诈骗,海淀区万寿寺,1,39.951084,116.312355
201410,诈骗,西城区德外,1,39.962746,116.38592
201410,诈骗,西城区二龙路,1,39.911785,116.366135
201410,诈骗,西城区牛街,1,39.88637,116.36366
201410,诈骗,西城区月坛,1,39.915623,116.35329
201410,诈骗,西城区展览路,1,39.932034,116.34452
201411,扒窃,丰台区大红门,2,39.83914,116.40512
201411,扒窃,丰台区马家堡,1,39.852848,116.37915
201411,盗窃机动车,丰台区南苑镇,1,39.798252,116.3792
201411,拎包盗窃,朝阳区十八里店,1,39.84223,116.484985
201411,拎包盗窃,丰台区樊家村,1,39.845154,116.31192
201411,撬砸汽车,朝阳区垡头,2,39.854683,116.51442
201411,撬砸汽车,朝阳区来广营,1,40.024036,116.46376
201411,撬砸汽车,朝阳区王四营,1,39.874344,116.53131
201411,撬砸汽车,东城区体育馆路,1,39.883987,116.42606
201411,撬砸汽车,丰台区青塔,1,39.89301,116.26413
201411,撬砸汽车,海淀区大钟寺,1,39.9641,116.34217
201411,撬砸汽车,海淀区东升,1,39.9953,116.3344
201411,撬砸汽车,石景山区苹果园,1,39.90807,116.20131
201411,入室盗窃,朝阳区常营,1,39.95175,116.58444
201411,入室盗窃,朝阳区东坝,1,39.972008,116.55506
201411,入室盗窃,朝阳区楼梓庄,1,39.974392,116.59601
201411,入室盗窃,朝阳区十八里店,1,39.84223,116.484985
201411,入室盗窃,东城区东花市,1,39.895752,116.4334
201411,入室盗窃,东城区龙潭,1,39.87715,116.444565
201411,入室盗窃,丰台区丰台镇,2,39.870472,116.28041
201411,入室盗窃,丰台区青塔,1,39.89301,116.26413
201411,入室盗窃,海淀区恩济庄,1,39.9275,116.28275
201411,入室盗窃,海淀区上地,1,40.030952,116.319824
201411,入室盗窃,海淀区田村,1,39.93033,116.244995
201411,入室盗窃,石景山区鲁谷,2,39.903286,116.237625
201411,入室盗窃,石景山区苹果园,1,39.90807,116.20131
201411,入室盗窃,西城区阜外大街,2,39.92339,116.34581
201411,诈骗,朝阳区崔各庄,1,40.027264,116.49433
201411,诈骗,朝阳区东坝,1,39.972008,116.55506
201411,诈骗,朝阳区东风,1,39.93854,116.505325
201411,诈骗,东城区东交民巷,1,39.902588,116.409065
201411,诈骗,丰台区科技园区,2,39.814003,116.29198
201411,诈骗,丰台区六里桥,1,39.883266,116.311005
201411,诈骗,海淀区大钟寺,1,39.9641,116.34217
201411,诈骗,海淀区海淀,1,39.990406,116.295525
201411,诈骗,海淀区上地,1,40.030952,116.319824
201411,诈骗,西城区二龙路,2,39.911785,116.366135
201411,诈骗,西城区月坛,2,39.915623,116.35329
201412,扒窃,朝阳区朝外大街,1,39.922882,116.44858
201412,扒窃,朝阳区大屯,1,39.999626,116.450645
201412,扒窃,朝阳区呼家楼,1,39.918316,116.4685
201412,扒窃,丰台区大红门,2,39.83914,116.40512
201412,扒窃,丰台区蒲黄榆,1,39.867184,116.42162
201412,扒窃,海淀区万寿寺,1,39.951084,116.312355
201412,扒窃,石景山区鲁谷,1,39.903286,116.237625
201412,扒窃,西城区昌平龙园,1,39.91229,116.36587
201412,扒窃,西城区密云城关,1,39.91229,116.36587
201412,扒窃,西城区西单大街,2,39.914146,116.37316
201412,扒窃,西城区展览路,1,39.932034,116.34452
201412,盗窃非机动车,丰台区马家堡,1,39.852848,116.37915
201412,盗窃非机动车,海淀区四季青,1,39.953846,116.27644
201412,盗窃非机动车,西城区密云西宾河,1,39.91229,116.36587
201412,盗窃非机动车,西城区陶然亭,1,39.88038,116.38483
201412,盗窃非机动车,西城区天桥,1,39.885284,116.39666
201412,盗窃非机动车,西城区新街口,1,39.940624,116.3727
201412,盗窃机动车,海淀区恩济庄,1,39.9275,116.28275
201412,拎包盗窃,朝阳区十八里店,1,39.84223,116.484985
201412,拎包盗窃,丰台区樊家村,1,39.845154,116.31192
201412,拎包盗窃,丰台区蒲黄榆,1,39.867184,116.42162
201412,拎包盗窃,丰台区玉泉营,1,39.846184,116.350975
201412,撬砸汽车,朝阳区常营,1,39.95175,116.58444
201412,撬砸汽车,朝阳区高碑店,1,39.8996,116.52837
201412,撬砸汽车,朝阳区劲松,1,39.884216,116.458916
201412,撬砸汽车,朝阳区来广营,1,40.024036,116.46376
201412,撬砸汽车,朝阳区六里屯,1,39.930466,116.48552
201412,撬砸汽车,朝阳区小红门,1,39.82863,116.461525
